git Project Name,Commit URL,Message
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/947f7e8cb72478674c1a18ed361e29748a69af86,"""Disable exponential stepping in synthetic scenes (aabb=1) by default

- Makes only a small performance difference (~20%) and matches original NeRF behavior. Remove the need for --nerf_compatibility when wanting to draw rough parallels to original NeRF.
- Also adds a GUI slider to adjust cone tracing angle live."""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/59943f47e1fcf2f39092c188d3211afd54943268,"""Use row-major encoding when possible to improve perf and memory"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/299afdfc0ab300d8518bd489feae07eb4e251328,"""Significant memory reduction through TCNN's new arena"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/ae9ceb319066fbd93223f1d46acaea5e6bd396a7,"""Regularize extrinsics optimization less by default"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/bc52f44629d1e624ab581339a61b6cd41654e116,"""Decentralize network dims again"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/fed242e6a3a92876eda58a4af0844499e1a6850b,"""Speed up NeRF by 10-20% through SoA dir encoding"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/2f2ba36f8e21a7feead3632a89c7b054b5cdc1fe,"""Optimize SDF & NeRF through SoA memory layout"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/af9434ec4d3861cfe22abe45b44e363f1c604103,"""Fix camera direction optimization"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/7b37eee0aa9ea31362d2a5a799e007a731de385c,"""Base extrinsics optimization LR decay on the respective optimizer's step count rather than the global one

Gradually growing datasets thus allow extrinsics learning of new images while old ones stay put"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/ad31b9d2289582bafc0e07f3465f070de8dd1134,"""Avoid redundant computation due to auto+Eigen"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/78b4946896f69febe0c1a62e4996e35d0b2989ef,"""Fix broken extrinsics optimization"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/aadc30f62b8cbf4e43a8779ec65b375a4046ad07,"""Nicer position visualization"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/2b825d383e11655f46786bc0a67fd0681bfceb60,"""Significantly more effective floater suppression with `near_distancle`"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/7926827277aff9c2ca57f3ef8d3b9e9af27325b9,"""Robustness to Windows paths on Linux"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/5b5cf800a5813ff36e9c071a44c5ad8d59d4399f,"""Exposure density range parameter when saving a density grid to PNG"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/874fb54f1ac6c7de28f56c6f058140b0fef65c49,"""Allow quantizing image MSE computation"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/d5654b08c03e3962561fcc90516749134a4f5d5a,"""Marching cubes density scale"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/84cc2bf82401feeb6cac2685c6b14207c824ae23,"""More conservative pathescape GT SDF values"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/5248e3a359d9c4d50f38bc68b2d1ee90fc1b4c0f,"""Vulkan: more robust validation layer setup and logging"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/fe906fbfb6d591640dd5697c8a9d897108866a23,"""Increase maximum `aabb_scale` to 128"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/6ee845f7a48fcc1943bf270c5ee395f56cdf0a5c,"""Reduce GPU RAM footprint of jpg/png datasets by 2x"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/1345878f5dba9a080ad5b91f4eacad0f2d429c03,"""Use SLERP for rolling shutter interpolation"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/1309f80f7adffcbf139919bd175b9f8b007949d5,"""Liberal use of `fmt::format` rather than string concatenation"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/df85fe95cb7557705a1a19fb24f1b9608b2c9a73,"""Improve performance in large scene by ~10%

Makes more aggressive use of the occupancy bitfield when rendering"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/77067bc9fcc977f15c016e8e3ae3b0bfdc138533,"""DLSS: allow more extensive dynamic resolution scaling"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/48aece8526f24e3bf3c2b9e9ca84a34ea54cf851,"""DLSS: default to on (now that dynamic res works better)"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/501a3c895578db6c76e7fcf2098633557bfeafbf,"""Make SDF and NeRF tracer allocations temporary (reduces overall memory consumption)"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/9f582d963a9b8ce2e3234057b7c683756ebb23cd,"""Increase GPU usage (and thus performance) for lower resolution rendering"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/67ee0f54ebc5631615f451225447ef1af9c3bcc1,"""GUI: make lines twice as thick (much easier to see)"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/874787316cdc48fb96fbefd6a4fcd21b74aa882d,"""More robust mechanism to find the binary root dir"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/18341426aca1701de60d299c83f0b40857123c2a,"""SDF: faster ray stabbing when OptiX is not found"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/176b122c4fa54714de0153c4f1c62e71afe3594b,"""VR: better performance settings handling & disable DLSS with passthrough"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/8e5501d491e6339f92b524f2f971f0df7c5794dc,"""VR: fix not all performance settings being applied when starting with `--vr`"""
instant-ngp,https://github.com/NVlabs/instant-ngp/commit/a96f45441f4e57dc3556c43cee5037f0a85e07a3,"""Synchronize stream before exposure optimization"""
SENet,https://github.com/hujie-frank/SENet/commit/a2bbc929c5cd32ba8990c117cdbc3ac01c601422,"""Optimise global average pooling on GPU implementation."""
SENet,https://github.com/hujie-frank/SENet/commit/d82e175424c6bc6863b5377699be0a33b66412de,"""Optimise backward of global average pooling."""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/086589432652cc492a8d4b51e761c06a4a975a71,"""added initial code, some pairwise computation stuff"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/4158554afa6de12716f5ad1a59fe4dd64011164a,"""slightly less broken T-SNE implementation"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/31b90aa85e0bd775aef39be2c81a9fcb1f3cb768,"""changed to use matrix multiplication instead of multiple vector multiplications"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/3189ac01bbe58f08ffd56e709b39ab435cfce624,"""Added momentum. Loss seems to be monotonically increasing."""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/234e6afe583ffaa34c0f54357433ce5e27e77461,"""Added perplexity computation"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/49b213747071464c7f31b2a509cc7d49eb84c6e2,"""Compute PIJ CPU WIP"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/b7b3faf1f9d80b384979f07adba1d96c3f243393,"""CPU Perplexity Search Completed"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/c71be76c69617d634e91395c99ccf88a9b6c6d89,"""added bounding box computation"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/7ce0d610671cea93ddd2b71b94be34857020e76f,"""tentative code to compute and sort by morton codes"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/76e17435368e8a66aa0b8cd868a0e0c3ccdcedbf,"""Perplexity Search with OOM on large inputs"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/2236bc3be0d0cc09ba94db58e6b54c52896d2957,"""tentative attractive force computation"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/0b2b3e77ae239c4d4699e1ed2344f3cdceab7c06,"""Added matrix symmetrization"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/bd1b29e07d82714ad6ac73d59a250fcb7ac4190a,"""Confirmed compute_pij working"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/15760518c401d32c11ee41547db0b12aa75f5d94,"""BHTSNE Reference implementation"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/fc73a3553a4c27faf64f568d048f482354cfd85f,"""BHTSNE Ref Implementation on Master"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/f9169dc9d8728ca4e432017824200974e2044f8c,"""some optimizations"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/ce6cfac08730693f51c158582fd7bf1dd02ecafb,"""Pulled sparsity scaling back to theoretic limit."""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/2cbcf26aca860a15498058233b714644ea43afc5,"""Strong reduction in compute-forces time"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/ec30a53012ceb79a83def3aa5e8d0a96db48335e,"""momentum implemented"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/991e30fec0576457ac95ee5cd087110d91ed5b53,"""momentum implemented successfully?"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/8e7c7c5dc30e4deeea59775efd2af59388e6e55d,"""Added reductions to the refactor"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/99628060bf6614ff10f311fbd0837b293b422ad1,"""Added some optimizations"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/15792de795a8fc17deaa9bf2fb23a9e5d22dd49c,"""Single GPU"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/255cafc245dbb0098ca71a17b7307be89f280c91,"""change default early exaggeration to 12"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/6825885e3b4079f3ee741b84ed1782945193faff,"""Added a lot of new symmetrization code"""
tsne-cuda,https://github.com/CannyLab/tsne-cuda/commit/59041b4492676dfedb45be941b79f07484364567,"""Added IVF optimization back"""
